HGNC ID	Approved symbol	Chromosome	Chromosome location	Ensembl gene ID	NCBI gene ID	UCSC gene ID	UniProt accession	OMIM ID	Orphanet ID
HGNC:57	ABCC6	16	16p13.11	ENSG00000091262	368	uc002den.5	O95255	603234	117658
HGNC:59	ABCC8	11	11p15.1	ENSG00000006071	6833	uc001mnc.4	Q09428	600509	117665
HGNC:60	ABCC9	12	12p12.1	ENSG00000069431	10060	uc001rfi.2	O60706	601439	117673
HGNC:52	ABCC10	6	6p21.1	ENSG00000124574	89845	uc003ouz.1	Q5T3U5	612509	
HGNC:14639	ABCC11	16	16q12.1	ENSG00000121270	85320	uc059txd.1	Q96J66	607040	
HGNC:14640	ABCC12	16	16q12.1	ENSG00000140798	94160	uc002efc.1	Q96J65	607041	
HGNC:61	ABCD1	X	Xq28	ENSG00000101986	215	uc004fif.2	P33897	300371	117677
HGNC:66	ABCD2	12	12q12	ENSG00000173208	225	uc001rmb.3	Q9UBJ2	601081	469896
HGNC:67	ABCD3	1	1p21.3	ENSG00000117528	5825	uc001dqn.5	P28288	170995	469898
HGNC:68	ABCD4	14	14q24.3	ENSG00000119688	5826	uc001xpr.3	O14678	603214	315413
HGNC:69	ABCE1	4	4q31.21	ENSG00000164163	6059	uc003ijy.4	P61221	601213	
HGNC:70	ABCF1	6	6p21.33	ENSG00000204574	23	uc003nql.4	Q8NE71	603429	
HGNC:71	ABCF2	7	7q36.1	ENSG00000033050	10061	uc003wjp.5	Q9UG63	612510	
HGNC:72	ABCF3	3	3q27.1	ENSG00000161204	55324	uc003fmz.3	Q9NUQ8	618967	
HGNC:73	ABCG1	21	21q22.3	ENSG00000160179	9619	uc002zaq.4	P45844	603076	
HGNC:74	ABCG2	4	4q22.1	ENSG00000118777	9429	uc003hrg.4	Q9UNQ0	603756	469900
HGNC:13884	ABCG4	11	11q23.3	ENSG00000172350	64137	uc031yhk.2	Q9H172	607784	
HGNC:13886	ABCG5	2	2p21	ENSG00000138075	64240	uc002rtn.3	Q9H222	605459	117683
HGNC:13887	ABCG8	2	2p21	ENSG00000143921	64241	uc002rtq.3	Q9H221	605460	117685
HGNC:17553	ABHD1	2	2p23.3	ENSG00000143994	84696	uc002rit.4	Q96SE0	612195	
HGNC:18717	ABHD2	15	15q26.1	ENSG00000140526	11057	uc002bnk.2	P08910	612196	
HGNC:18718	ABHD3	18	18q11.2	ENSG00000158201	171586	uc002ktl.2	Q8WU67	612197	
HGNC:20154	ABHD4	14	14q11.2	ENSG00000100439	63874	uc001wgm.4	Q8TB40		
HGNC:21396	ABHD5	3	3p21.33	ENSG00000011198	51099	uc003cmx.4	Q8WTS1	604780	117687
HGNC:21398	ABHD6	3	3p14.3	ENSG00000163686	57406	uc003djt.5	Q9BV23	616966	
HGNC:23759	ABHD8	19	19p13.11	ENSG00000127220	79575	uc002ngb.4	Q96I13		
HGNC:25656	ABHD10	3	3q13.2	ENSG00000144827	55347	uc003dyk.6	Q9NUJ1	618756	
HGNC:16407	ABHD11	7	7q11.23	ENSG00000106077	83451	uc003tzb.4	Q8NFV4		
HGNC:15868	ABHD12	20	20p11.21	ENSG00000100997	26090	uc002wus.3	Q8N2K0	613599	239970
HGNC:19837	ABHD12B	14	14q22.1	ENSG00000131969	145447	uc001wyr.3	Q7Z5M8		
HGNC:20293	ABHD13	13	13q33.3	ENSG00000139826	84945	uc001vqq.4	Q7L211		
HGNC:24538	ABHD14A	3	3p21.2	ENSG00000248487	25864	uc003dco.4	Q9BUJ0	618771	
HGNC:28235	ABHD14B	3	3p21.2	ENSG00000114779	84836	uc003dcn.3	Q96IU4		
HGNC:26971	ABHD15	17	17q11.2	ENSG00000168792	116236	uc002hed.3	Q6UXT9		
HGNC:13921	ABHD16A	6	6p21.33	ENSG00000204427	7920	uc003nvy.3	O95870	142620	
HGNC:16128	ABHD16B	20	20q13.33	ENSG00000183260	140701	uc002ygx.3	Q9H3Z7		
HGNC:28756	ABHD17A	19	19p13.3	ENSG00000129968	81926	uc002lug.4	Q96GS6	617942	
HGNC:24278	ABHD17B	9	9q21.13	ENSG00000107362	51104	uc004ail.4	Q5VST6	617943	
HGNC:26925	ABHD17C	15	15q25.1	ENSG00000136379	58489	uc002bfu.4	Q6PCB6	617944	
HGNC:26111	ABHD18	4	4q28.2	ENSG00000164074	80167		Q0P651		
HGNC:11320	ABI1	10	10p12.1	ENSG00000136754	10006	uc001isx.4	Q8IZP0	603050	
HGNC:24011	ABI2	2	2q33.2	ENSG00000138443	10152	uc002uzz.5	Q9NYB9	606442	
HGNC:29859	ABI3	17	17q21.32	ENSG00000108798	51225	uc002iop.1	Q9P2A4	606363	
HGNC:17265	ABI3BP	3	3q12.2	ENSG00000154175	25890	uc003dun.4	Q7Z7G0	606279	
HGNC:1364	ABITRAM	9	9q31.3	ENSG00000119328	54942	uc004bdn.4	Q9NX38		
HGNC:76	ABL1	9	9q34.12	ENSG00000097007	25	uc004bzv.4	P00519	189980	117691
HGNC:77	ABL2	1	1q25.2	ENSG00000143322	27	uc001gmj.5	P42684	164690	
HGNC:78	ABLIM1	10	10q25.3	ENSG00000099204	3983	uc057wcy.1	O14639	602330	
HGNC:19195	ABLIM2	4	4p16.1	ENSG00000163995	84448	uc003gkj.5	Q6H8Q1	612544	
HGNC:29132	ABLIM3	5	5q32	ENSG00000173210	22885	uc003lpy.3	O94929	611305	
HGNC:79	ABO	9	9q34.2	ENSG00000175164	28	uc064wua.1	P16442	110300	
HGNC:81	ABR	17	17p13.3	ENSG00000159842	29	uc002fsd.6	Q12979	600365	
HGNC:30655	ABRA	8	8q23.1	ENSG00000174429	137735	uc003ymm.5	Q8N0Z2	609747	
HGNC:21230	ABRACL	6	6q24.1	ENSG00000146386	58527	uc003qil.2	Q9P1F3		
HGNC:25829	ABRAXAS1	4	4q21.23	ENSG00000163322	84142	uc003hou.3	Q6UWZ7	611143	470314
HGNC:28975	ABRAXAS2	10	10q26.13	ENSG00000165660	23172	uc001lib.4	Q15018	611144	
HGNC:17369	ABT1	6	6p22.2	ENSG00000146109	29777	uc003nii.4	Q9ULW3	618750	
HGNC:18275	ABTB1	3	3q21.3	ENSG00000114626	80325	uc003ejt.4	Q969K4	608308	
HGNC:23842	ABTB2	11	11p13	ENSG00000166016	25841	uc001mvl.3	Q8N961		
HGNC:82	ACAA1	3	3p22.2	ENSG00000060971	30	uc003cht.4	P09110	604054	469902
HGNC:83	ACAA2	18	18q21.1	ENSG00000167315	10449	uc002ldw.5	P42765	604770	
HGNC:84	ACACA	17	17q12	ENSG00000278540	31	uc284osy.1	Q13085	200350	
HGNC:85	ACACB	12	12q24.11	ENSG00000076555	32	uc001tob.4	O00763	601557	
HGNC:87	ACAD8	11	11q25	ENSG00000151498	27034	uc001qhk.4	Q9UKU7	604773	123336
HGNC:21497	ACAD9	3	3q21.3	ENSG00000177646	28976	uc003ela.5	Q9H845	611103	123334
HGNC:21597	ACAD10	12	12q24.12	ENSG00000111271	80724	uc009zvx.4	Q6JQN1	611181	
HGNC:30211	ACAD11	3	3q22.1	ENSG00000240303	84129	uc003eov.5	Q709F0	614288	
HGNC:88	ACADL	2	2q34	ENSG00000115361	33	uc002vdz.5	P28330	609576	159889
HGNC:89	ACADM	1	1p31.1	ENSG00000117054	34	uc001dgw.6	P11310	607008	117700
HGNC:90	ACADS	12	12q24.31	ENSG00000122971	35	uc001tza.5	P16219	606885	117705
HGNC:91	ACADSB	10	10q26.13	ENSG00000196177	36	uc001lhb.4	P45954	600301	117709
HGNC:92	ACADVL	17	17p13.1	ENSG00000072778	37	uc002gev.5	P49748	609575	117713
HGNC:319	ACAN	15	15q26.1	ENSG00000157766	176	uc010upo.1	P16112	155760	117718
HGNC:16467	ACAP1	17	17p13.1	ENSG00000072818	9744	uc002ggd.3	Q15027	607763	
HGNC:16469	ACAP2	3	3q29	ENSG00000114331	23527	uc003fun.5	Q15057	607766	
HGNC:16754	ACAP3	1	1p36.33	ENSG00000131584	116983	uc001aeb.3	Q96P50		
HGNC:93	ACAT1	11	11q22.3	ENSG00000075239	38	uc001pjy.4	P24752	607809	117724
HGNC:94	ACAT2	6	6q25.3	ENSG00000120437	39	uc010kjy.4	Q9BWD1	100678	
HGNC:15453	ACBD3	1	1q42.12	ENSG00000182827	64746	uc001hpy.4	Q9H3P7	606809	
HGNC:23337	ACBD4	17	17q21.31	ENSG00000181513	79777	uc002iic.4	Q8NC06		
HGNC:23338	ACBD5	10	10p12.1	ENSG00000107897	91452	uc001ito.4	Q5T8D3	616618	469904
HGNC:23339	ACBD6	1	1q25.2-q25.3	ENSG00000230124	84320	uc001gog.4	Q9BR61	616352	
HGNC:17715	ACBD7	10	10p13	ENSG00000176244	414149	uc001inv.4	Q8N6N7		
HGNC:23989	ACCS	11	11p11.2	ENSG00000110455	84680	uc001mxx.3	Q96QU6	608405	
HGNC:34391	ACCSL	11	11p11.2	ENSG00000205126	390110	uc001mxw.1	Q4AC99		
HGNC:25070	ACD	16	16q22.1	ENSG00000102977	65057	uc002etp.5	Q96AP0	609377	419358
HGNC:2707	ACE	17	17q23.3	ENSG00000159640	1636	uc002jau.4	P12821	106180	117728
HGNC:13557	ACE2	X	Xp22.2	ENSG00000130234	59272	uc004cxb.2	Q9BYF1	300335	
HGNC:18356	ACER1	19	19p13.3	ENSG00000167769	125981	uc002mel.3	Q8TDN7	613491	
HGNC:23675	ACER2	9	9p22.1	ENSG00000177076	340485	uc003zny.2	Q5QJU3	613492	
HGNC:16066	ACER3	11	11q13.5	ENSG00000078124	55331	uc009yum.2	Q9NUN7	617036	
HGNC:108	ACHE	7	7q22.1	ENSG00000087085	43	uc003uxi.4	P22303	100740	
HGNC:17066	ACIN1	14	14q11.2	ENSG00000100813	22985	uc001wit.5	Q9UKV3	604562	
HGNC:4035	ACKR1	1	1q23.2	ENSG00000213088	2532		Q16570	613665	
HGNC:1565	ACKR2	3	3p22.1	ENSG00000144648	1238		O00590	602648	
HGNC:23692	ACKR3	2	2q37.3	ENSG00000144476	57007		P25106	610376	469906
HGNC:1611	ACKR4	3	3q22.1	ENSG00000129048	51554		Q9NPB9	606065	
HGNC:115	ACLY	17	17q21.2	ENSG00000131473	47	uc002hyg.4	P53396	108728	
HGNC:19288	ACMSD	2	2q21.3	ENSG00000153086	130013	uc002ttz.4	Q8TDX5	608889	
HGNC:117	ACO1	9	9p21.1	ENSG00000122729	48	uc003zqw.5	P21399	100880	469908
HGNC:118	ACO2	22	22q13.2	ENSG00000100412	50	uc003bac.3	Q99798	100850	317699
HGNC:33904	ACOD1	13	13q22.3	ENSG00000102794	730249	uc031qmi.3	A6NK06	615275	
HGNC:33128	ACOT1	14	14q24.3	ENSG00000184227	641371	uc001xol.2	Q86TX2	614313	
HGNC:18431	ACOT2	14	14q24.3	ENSG00000119673	10965	uc059ddl.1	P49753	609972	
HGNC:19748	ACOT4	14	14q24.3	ENSG00000177465	122970	uc001xoo.4	Q8N9L9	614314	
HGNC:33159	ACOT6	14	14q24.3	ENSG00000205669	641372	uc001xop.3	Q3I5F7	614267	
HGNC:24157	ACOT7	1	1p36.31	ENSG00000097021	11332	uc001ams.4	O00154	602587	
HGNC:15919	ACOT8	20	20q13.12	ENSG00000101473	10005	uc002xqa.3	O14734	608123	
HGNC:17152	ACOT9	X	Xp22.11	ENSG00000123130	23597	uc004dap.4	Q9Y305	300862	
HGNC:18156	ACOT11	1	1p32.3	ENSG00000162390	26027	uc001cxm.3	Q8WXI4	606803	
HGNC:24436	ACOT12	5	5q14.1	ENSG00000172497	134526	uc003khl.5	Q8WYK0	614315	
HGNC:20999	ACOT13	6	6p22.3	ENSG00000112304	55856	uc003nek.4	Q9NPJ3	615652	
HGNC:119	ACOX1	17	17q25.1	ENSG00000161533	51	uc002jqe.5	Q15067	609751	117738
HGNC:120	ACOX2	3	3p14.3	ENSG00000168306	8309	uc003dkl.4	Q99424	601641	469910
HGNC:121	ACOX3	4	4p16.1	ENSG00000087008	8310	uc003glc.5	O15254	603402	
HGNC:25621	ACOXL	2	2q13	ENSG00000153093	55289	uc021vmm.2	Q9NUZ1		
HGNC:122	ACP1	2	2p25.3	ENSG00000143727	52	uc002qwg.4	P24666	171500	
HGNC:123	ACP2	11	11p11.2	ENSG00000134575	53	uc001nei.3	P11117	171650	
HGNC:125	ACP3	3	3q22.1	ENSG00000014257	55	uc010htp.3	P15309	171790	
HGNC:14376	ACP4	19	19q13.33	ENSG00000142513	93650	uc002pta.1	Q9BZG2	606362	
HGNC:124	ACP5	19	19p13.2	ENSG00000102575	54	uc002msi.5	P13686	171640	259358
HGNC:29609	ACP6	1	1q21.2	ENSG00000162836	51205	uc001epr.3	Q9NPH0	611471	469912
HGNC:33781	ACP7	19	19q13.2	ENSG00000183760	390928		Q6ZNF0	610490	
HGNC:126	ACR	22	22q13.33	ENSG00000100312	49	uc003bnh.5	P10323	102480	
HGNC:17195	ACRBP	12	12p13.31	ENSG00000111644	84519	uc001qpu.2	Q8NEB7	608352	
HGNC:127	ACRV1	11	11q24.2	ENSG00000134940	56	uc001qcs.4	P26436	102525	
HGNC:29567	ACSBG1	15	15q25.1	ENSG00000103740	23205	uc002bdh.4	Q96GR2	614362	
HGNC:24174	ACSBG2	19	19p13.3	ENSG00000130377	81616	uc002mef.3	Q5FVE4	614363	
HGNC:26101	ACSF2	17	17q21.33	ENSG00000167107	80221	uc002iqu.4	Q96CM8	610465	
HGNC:27288	ACSF3	16	16q24.3	ENSG00000176715	197322	uc021tmq.2	Q4G176	614245	289511
HGNC:3569	ACSL1	4	4q35.1	ENSG00000151726	2180	uc063biw.1	P33121	152425	
HGNC:3570	ACSL3	2	2q36.1	ENSG00000123983	2181	uc002vni.4	O95573	602371	
HGNC:3571	ACSL4	X	Xq23	ENSG00000068366	2182	uc004eoi.3	O60488	300157	117743
HGNC:16526	ACSL5	10	10q25.2	ENSG00000197142	51703	uc001kzs.4	Q9ULC5	605677	
HGNC:16496	ACSL6	5	5q31.1	ENSG00000164398	23305	uc063gss.1	Q9UKU0	604443	
HGNC:18049	ACSM1	16	16p12.3	ENSG00000166743	116285	uc010bwg.2	Q08AH1	614357	
HGNC:32017	ACSM2A	16	16p12.3	ENSG00000183747	123876	uc002dhg.5	Q08AH3	614358	
HGNC:30931	ACSM2B	16	16p12.3	ENSG00000066813	348158	uc002dhk.5	Q68CK6	614359	
HGNC:10522	ACSM3	16	16p12.3	ENSG00000005187	6296	uc002dhr.4	Q53FZ2	145505	
HGNC:32016	ACSM4	12	12p13.31	ENSG00000215009	341392	uc001qsx.2	P0C7M7	614360	
HGNC:26060	ACSM5	16	16p12.3	ENSG00000183549	54988	uc002dhe.4	Q6NUN0	614361	
HGNC:31665	ACSM6	10	10q23.33	ENSG00000173124	142827		Q6P461		
HGNC:16091	ACSS1	20	20p11.21	ENSG00000154930	84532	uc061vwl.1	Q9NUB1	614355	
HGNC:15814	ACSS2	20	20q11.22	ENSG00000131069	55902	uc002xbd.3	Q9NR19	605832	
HGNC:24723	ACSS3	12	12q21.31	ENSG00000111058	79611	uc001szl.2	Q9H6R3	614356	
HGNC:129	ACTA1	1	1q42.13	ENSG00000143632	58	uc001htm.4	P68133	102610	117750
HGNC:130	ACTA2	10	10q23.31	ENSG00000107796	59	uc001kfq.4	P62736	102620	138831
HGNC:132	ACTB	7	7p22.1	ENSG00000075624	60	uc003sot.5	P60709	102630	159893
HGNC:17780	ACTBL2	5	5q11.2	ENSG00000169067	345651	uc003jrm.3	Q562R1	614835	
HGNC:143	ACTC1	15	15q14	ENSG00000159251	70	uc001ziu.2	P68032	102540	117753
HGNC:144	ACTG1	17	17q25.3	ENSG00000184009	71	uc002kal.3	P63261	102560	166815
HGNC:145	ACTG2	2	2p13.1	ENSG00000163017	72	uc002sjw.4	P63267	102545	320793
HGNC:24124	ACTL6A	3	3q26.33	ENSG00000136518	86	uc003fjw.4	O96019	604958	
HGNC:160	ACTL6B	7	7q22.1	ENSG00000077080	51412	uc003uvy.4	O94805	612458	
HGNC:161	ACTL7A	9	9q31.3	ENSG00000187003	10881	uc004bdj.3	Q9Y615	604303	
HGNC:162	ACTL7B	9	9q31.3	ENSG00000148156	10880	uc004bdi.4	Q9Y614	604304	
HGNC:24018	ACTL8	1	1p36.13	ENSG00000117148	81569	uc001bat.3	Q9H568		
HGNC:28494	ACTL9	19	19p13.2	ENSG00000181786	284382	uc032hly.2	Q8TC94	619251	
HGNC:16127	ACTL10	20	20q11.22	ENSG00000288649	170487	uc002wzt.3	Q5JWF8		
HGNC:163	ACTN1	14	14q24.1	ENSG00000072110	87	uc001xkl.4	P12814	102575	330666
HGNC:164	ACTN2	1	1q43	ENSG00000077522	88	uc001hyf.4	P35609	102573	159192
HGNC:165	ACTN3	11	11q13.2	ENSG00000248746	89	uc021qlz.4	Q08043	102574	
HGNC:166	ACTN4	19	19q13.2	ENSG00000130402	81	uc002oja.3	O43707	604638	117757
HGNC:167	ACTR1A	10	10q24.32	ENSG00000138107	10121	uc001kvv.4	P61163	605143	
HGNC:168	ACTR1B	2	2q11.2	ENSG00000115073	10120	uc002syb.3	P42025	605144	
HGNC:169	ACTR2	2	2p14	ENSG00000138071	10097	uc002sdq.4	P61160	604221	
HGNC:170	ACTR3	2	2q14.1	ENSG00000115091	10096	uc002tkx.3	P61158	604222	
HGNC:17256	ACTR3B	7	7q36.1-q36.2	ENSG00000133627	57180	uc003wle.3	Q9P1U1		
HGNC:37282	ACTR3C	7	7q36.1	ENSG00000106526	653857	uc003wgu.3	Q9C0K3		
HGNC:14671	ACTR5	20	20q11.23	ENSG00000101442	79913	uc002xjd.3	Q9H9F9		
HGNC:24025	ACTR6	12	12q23.1	ENSG00000075089	64431	uc001thb.3	Q9GZN1		
HGNC:14672	ACTR8	3	3p21.1	ENSG00000113812	93973	uc003dhd.4	Q9H981		
HGNC:17372	ACTR10	14	14q23.1	ENSG00000131966	55860	uc001xdf.4	Q9NZ32		
HGNC:24027	ACTRT1	X	Xq25	ENSG00000123165	139741	uc004eum.4	Q8TDG2	300487	
HGNC:24026	ACTRT2	1	1p36.32	ENSG00000169717	140625	uc001ajz.4	Q8TDY3	608535	
HGNC:24022	ACTRT3	3	3q26.2	ENSG00000184378	84517	uc003ffs.3	Q9BYD9	608534	
HGNC:171	ACVR1	2	2q24.1	ENSG00000115170	90	uc010fog.3	Q04771	102576	117759
HGNC:172	ACVR1B	12	12q13.13	ENSG00000135503	91	uc001rzn.4	P36896	601300	
HGNC:18123	ACVR1C	2	2q24.1	ENSG00000123612	130399	uc002tzk.5	Q8NER5	608981	
HGNC:173	ACVR2A	2	2q22.3-q23.1	ENSG00000121989	92	uc002twh.5	P27037	102581	
HGNC:174	ACVR2B	3	3p22.2	ENSG00000114739	93	uc003cif.4	Q13705	602730	159918
HGNC:175	ACVRL1	12	12q13.13	ENSG00000139567	94	uc001rzj.4	P37023	601284	117764
HGNC:177	ACY1	3	3p21.2	ENSG00000243989	95	uc003dcp.4	Q03154	104620	159895
HGNC:24104	ACY3	11	11q13.2	ENSG00000132744	91703	uc001omq.3	Q96HD9	614413	
HGNC:179	ACYP1	14	14q24.3	ENSG00000119640	97	uc001xrg.4	P07311	600875	
HGNC:180	ACYP2	2	2p16.2	ENSG00000170634	98	uc002rxq.5	P14621	102595	
HGNC:186	ADA	20	20q13.12	ENSG00000196839	100	uc002xmj.4	P00813	608958	117771
HGNC:1839	ADA2	22	22q11.1	ENSG00000093072	51816	uc062bga.1	Q9NZK5	607575	396032
HGNC:30713	ADAD1	4	4q27	ENSG00000164113	132612	uc003ieo.4	Q96M93	614130	
HGNC:30714	ADAD2	16	16q24.1	ENSG00000140955	161931	uc002fhr.3	Q8NCV1	619532	
HGNC:31853	ADAL	15	15q15.3	ENSG00000168803	161823	uc059iit.1	Q6DHV7	619346	
HGNC:198	ADAM2	8	8p11.22	ENSG00000104755	2515	uc003xnj.5	Q99965	601533	
HGNC:214	ADAM7	8	8p21.2	ENSG00000069206	8756	uc003xeb.4	Q9H2U9	607310	
HGNC:215	ADAM8	10	10q26.3	ENSG00000151651	101	uc021qbe.2	P78325	602267	
HGNC:216	ADAM9	8	8p11.22	ENSG00000168615	8754	uc003xmr.4	Q13443	602713	201516
HGNC:188	ADAM10	15	15q21.3	ENSG00000137845	102	uc002afd.3	O14672	602192	358659
HGNC:189	ADAM11	17	17q21.31	ENSG00000073670	4185	uc002ihh.4	O75078	155120	
HGNC:190	ADAM12	10	10q26.2	ENSG00000148848	8038	uc001ljk.4	O43184	602714	
HGNC:193	ADAM15	1	1q21.3	ENSG00000143537	8751	uc001fgr.3	Q13444	605548	
HGNC:195	ADAM17	2	2p25.1	ENSG00000151694	6868	uc002qzu.5	P78536	603639	299456
HGNC:196	ADAM18	8	8p11.22	ENSG00000168619	8749	uc003xni.4	Q9Y3Q7	619495	
HGNC:197	ADAM19	5	5q33.3	ENSG00000135074	8728	uc003lwz.5	Q9H013	603640	
HGNC:199	ADAM20	14	14q24.2	ENSG00000134007	8748	uc001xme.4	O43506	603712	
HGNC:200	ADAM21	14	14q24.2	ENSG00000139985	8747	uc001xmd.4	Q9UKJ8	603713	
HGNC:201	ADAM22	7	7q21.12	ENSG00000008277	53616	uc003ujn.4	Q9P0K1	603709	
HGNC:202	ADAM23	2	2q33.3	ENSG00000114948	8745	uc002vbq.6	O75077	603710	
HGNC:206	ADAM28	8	8p21.2	ENSG00000042980	10863	uc003xdy.4	Q9UKQ2	606188	
HGNC:207	ADAM29	4	4q34.1	ENSG00000168594	11086	uc031shw.1	Q9UKF5	604778	
HGNC:208	ADAM30	1	1p12	ENSG00000134249	11085	uc001eij.4	Q9UKF2	604779	
HGNC:15479	ADAM32	8	8p11.22	ENSG00000197140	203102	uc003xmt.5	Q8TC27	618602	
